stat1,stat2,stat3,stat4,stat5,stat6,prob
3,3,3,3,3,3,100.00%
4,3,3,3,3,3,100.00%
4,4,3,3,3,3,100.00%
5,3,3,3,3,3,100.00%
5,4,3,3,3,3,100.00%
6,3,3,3,3,3,100.00%
6,4,3,3,3,3,100.00%
5,5,3,3,3,3,100.00%
4,4,4,3,3,3,100.00%
5,4,4,3,3,3,100.00%
6,5,3,3,3,3,100.00%
6,4,4,3,3,3,100.00%
5,5,4,3,3,3,100.00%
6,5,4,3,3,3,100.00%
7,3,3,3,3,3,100.00%
7,4,3,3,3,3,100.00%
7,5,3,3,3,3,100.00%
7,4,4,3,3,3,100.00%
7,5,4,3,3,3,100.00%
6,6,3,3,3,3,100.00%
6,6,4,3,3,3,100.00%
7,6,3,3,3,3,100.00%
7,6,4,3,3,3,100.00%
5,5,5,3,3,3,100.00%
6,5,5,3,3,3,100.00%
7,5,5,3,3,3,100.00%
6,6,5,3,3,3,100.00%
7,6,5,3,3,3,100.00%
4,4,4,4,3,3,100.00%
5,4,4,4,3,3,100.00%
6,4,4,4,3,3,100.00%
5,5,4,4,3,3,100.00%
6,5,4,4,3,3,100.00%
7,4,4,4,3,3,100.00%
7,5,4,4,3,3,100.00%
6,6,4,4,3,3,100.00%
7,6,4,4,3,3,100.00%
5,5,5,4,3,3,100.00%
6,5,5,4,3,3,100.00%
7,5,5,4,3,3,100.00%
6,6,5,4,3,3,100.00%
7,6,5,4,3,3,100.00%
8,3,3,3,3,3,100.00%
8,4,3,3,3,3,100.00%
8,5,3,3,3,3,100.00%
8,4,4,3,3,3,100.00%
8,5,4,3,3,3,100.00%
8,6,3,3,3,3,100.00%
8,6,4,3,3,3,100.00%
8,5,5,3,3,3,100.00%
8,6,5,3,3,3,100.00%
8,4,4,4,3,3,100.00%
8,5,4,4,3,3,100.00%
8,6,4,4,3,3,100.00%
8,5,5,4,3,3,100.00%
8,6,5,4,3,3,100.00%
7,7,3,3,3,3,100.00%
7,7,4,3,3,3,100.00%
7,7,5,3,3,3,100.00%
7,7,4,4,3,3,100.00%
7,7,5,4,3,3,100.00%
8,7,3,3,3,3,100.00%
8,7,4,3,3,3,100.00%
8,7,5,3,3,3,100.00%
8,7,4,4,3,3,100.00%
8,7,5,4,3,3,100.00%
6,6,6,3,3,3,100.00%
7,6,6,3,3,3,100.00%
6,6,6,4,3,3,100.00%
7,6,6,4,3,3,100.00%
8,6,6,3,3,3,100.00%
8,6,6,4,3,3,100.00%
7,7,6,3,3,3,100.00%
7,7,6,4,3,3,100.00%
8,7,6,3,3,3,100.00%
8,7,6,4,3,3,100.00%
5,5,5,5,3,3,100.00%
6,5,5,5,3,3,100.00%
7,5,5,5,3,3,100.00%
6,6,5,5,3,3,100.00%
7,6,5,5,3,3,100.00%
8,5,5,5,3,3,100.00%
8,6,5,5,3,3,100.00%
7,7,5,5,3,3,100.00%
8,7,5,5,3,3,100.00%
9,3,3,3,3,3,100.00%
9,4,3,3,3,3,100.00%
9,5,3,3,3,3,100.00%
9,4,4,3,3,3,100.00%
9,5,4,3,3,3,100.00%
9,6,3,3,3,3,100.00%
9,6,4,3,3,3,100.00%
9,5,5,3,3,3,100.00%
9,6,5,3,3,3,100.00%
9,4,4,4,3,3,100.00%
9,5,4,4,3,3,100.00%
9,6,4,4,3,3,100.00%
9,5,5,4,3,3,100.00%
9,6,5,4,3,3,100.00%
6,6,6,5,3,3,100.00%
7,6,6,5,3,3,100.00%
8,6,6,5,3,3,100.00%
9,7,3,3,3,3,100.00%
9,7,4,3,3,3,100.00%
9,7,5,3,3,3,100.00%
9,7,4,4,3,3,100.00%
9,7,5,4,3,3,100.00%
7,7,6,5,3,3,100.00%
8,7,6,5,3,3,100.00%
9,6,6,3,3,3,100.00%
9,6,6,4,3,3,100.00%
9,7,6,3,3,3,100.00%
9,7,6,4,3,3,100.00%
9,5,5,5,3,3,100.00%
9,6,5,5,3,3,100.00%
9,7,5,5,3,3,100.00%
9,6,6,5,3,3,100.00%
9,7,6,5,3,3,100.00%
8,8,3,3,3,3,100.00%
8,8,4,3,3,3,100.00%
8,8,5,3,3,3,100.00%
8,8,4,4,3,3,100.00%
8,8,5,4,3,3,100.00%
